Carrier,Site Code,Asset Tag,WWT_ITEM_NUMBER,Serial,SO Number Attribute,MEID,IMEI,SIM,Phone Number,Activation Date,Language
ATT EOD,INC1973674 - CHICAGO,999741,FZ-A1BDAAA1M,3AKYB20007,5856111,0,1.2915E+13,8.90141E+19,5775726590,,English
VERIZON,INC1891661 - SAN ANTONIO,1021462,FZ-A1BDAAV1M,3CKSB27284,5856365,9.90001E+13,9.90001E+14,8.9148E+19,2108506038,,English
