SO_NUM,SCHEDULE_DATE,PROMISE_DATE
5924372,8/26/15,8/26/15
5924375,8/26/15,8/26/15
5983457,8/18/15,8/18/15
5987823,8/18/15,8/18/15
5985852,8/26/15,8/26/15
5993824,10/13/15,10/13/15
6007273,8/18/15,8/18/15
6018789,8/19/15,8/19/15
6018793,9/4/15,9/4/15
6021444,8/18/15,8/18/15
6018780,9/4/15,9/4/15
6029817,8/19/15,8/19/15
6029818,8/19/15,8/19/15
6029819,8/19/15,8/19/15
6029824,8/19/15,8/19/15
6044090,8/19/15,8/19/15
6051844,8/19/15,8/19/15
6050997,9/4/15,9/4/15
6051007,9/4/15,9/4/15
6051008,9/4/15,9/4/15
6056582,8/27/15,8/27/15
6062440,8/19/15,8/19/15
6074944,8/26/15,8/26/15
6065281,8/19/15,8/19/15
6065282,8/19/15,8/19/15
6064603,8/19/15,8/19/15
6064614,8/19/15,8/19/15
6064615,8/19/15,8/19/15
6064616,8/19/15,8/19/15
6089244,8/19/15,8/19/15
6067119,9/8/15,9/8/15
6089082,8/19/15,8/19/15
6065486,9/2/15,9/2/15
6072666,8/26/15,8/26/15
6067300,9/2/15,9/2/15
6074781,8/19/15,8/19/15
6074785,8/19/15,8/19/15
6073066,8/24/15,8/24/15
6073093,8/24/15,8/24/15
6074791,8/25/15,8/25/15
6074305,9/7/15,9/7/15
6073053,9/7/15,9/7/15
6082191,9/8/15,9/8/15
6082712,8/19/15,8/19/15
6082727,9/21/15,9/21/15
6082735,9/21/15,9/21/15
6082740,9/21/15,9/21/15
6082742,9/21/15,9/21/15
6076967,9/21/15,9/21/15
6082201,9/21/15,9/21/15
6082745,9/21/15,9/21/15
6084588,8/19/15,8/19/15
6009550,8/19/15,8/19/15
6084242,8/25/15,8/25/15
6088356,8/19/15,8/19/15
6088354,8/20/15,8/20/15
6088357,9/21/15,9/21/15
6088358,9/21/15,9/21/15
6088376,9/21/15,9/21/15
6088378,9/21/15,9/21/15
6041634,8/27/15,8/27/15
6080079,8/19/15,8/19/15
6044571,9/3/15,9/3/15
6051005,9/14/15,9/14/15
6047173,9/3/15,9/3/15
