Items|telcobuy_items-033115160358.txt
No of lines in the file: 1
No of bytes in the file: 167
#ITEM_NUMBER|MANUFACTURER|DESCRIPTION|SERIAL|ITEM_TYPE|TECHNOLOGY|LIST_PRICE|CUSTOMER_PART_NUMBER|PRIMARY|EXTERNAL_DOWNLOAD_FLAG|EXPENDITURE_TYPE|BOM_ITEM_TYPE|LAST_UPDATE_DATE|ITEM_STATUS
SEQ.11486|Sonus Networks|Sonus Networks,820-00097,,DISCONTINUED USE,SEQ.17248,GSX9000HD Fan,Tray,,,|N|NETWORK||288|820-00097|EA|B|Adjunct Switch Equip|Standard|03/30/2015 07:03:58|Phase NTW
SEQ.17243|Sun Microsystems|Sun Microsystems,7103829,,,,ZFS Storage ZS3-2 Controller,2U,,,|Y|NETWORK||17097|7103829|EA|E|Adjunct Data Proc Equip|Standard|03/30/2015 06:03:13|Active NTW
SEQ.17244|Sun Microsystems|Sun Microsystems,7103910,,,,Storage Drive Enclosure,DE2-24P,2U,,|Y|NETWORK||17500|7103910|EA|E|Adjunct Data Proc Equip|Standard|03/30/2015 06:03:13|Active NTW
SEQ.17245|Hewlett Packard|Hewlett Packard,BL540B,,,,MSL LTO-5 Ultrium 3000 SAS,Drive,,,|Y|NETWORK||3000|BL540B|EA|E|Adjunct Data Proc Equip|Standard|03/30/2015 06:03:13|Active NTW
SEQ.17246|Hewlett Packard|Hewlett Packard,AK379A,,,,MSL2024 0-Drive Tape Library,2U,,,|Y|NETWORK||1350|AK379A|EA|E|Adjunct Data Proc Equip|Standard|03/30/2015 06:03:13|Active NTW
SEQ.17247|Alcatel-Lucent|Alcatel-Lucent,T5-2_BASED_WMS,14US21525304,,,T5-2 Based WMS Platform with,Tape,Libraries,,|Y|NETWORK||713142|T5-2_BASED_WMS|EA|E|Adjunct Data Proc Equip|Model|03/30/2015 06:03:13|Active NTW
ANT.14884|Rosenberger Site Solutions|Rosenberger Site Solutions,C00111374-072,,,,(1) Package RG142 Coax Cable,N Type Male Straight; N Type,Female Straight Bulk,Head,|N|NETWORK||51.88|C00111374-072|EA|B|Antenna Sys Matl|Standard|03/30/2015 05:03:49|Active NTW
NEQ.15452|Alpha Technologies|Alpha Technologies,017-232-31,,STANDARDIZATION EXCEPTION,,FXM 2000 UPS Module; 120Vi/o,48VDC,SNMP,,|Y|NETWORK||999.54|017-232-31|EA|E|Inverter|Standard|03/30/2015 04:03:57|Active NTW
CEQ.15288|Ericsson|Ericsson,SXK1251586/2,,,,Ventilation hole cover for,A2,,,|N|NETWORK||10|SXK1251586/2|EA|B|Radio Cabinets|Standard|03/30/2015 04:03:57|Active NTW
NEQ.18736|Westell|Westell,A90-FTD24P-LA22,,,,VirtualEdge Fiber Termination,Drawer; 24 LC/APC,Couplers;Two 12 Fiber,LC/APC,|N|NETWORK||535|A90-FTD24P-LA22|EA|B|Fiber Optic Equip|Standard|03/30/2015 04:03:57|Active NTW
ANT.14883|KMW|KMW,EPBQ-652L8H8,,,,8ft Ultra-Broadband,(700/850/PCS/AWS/WCS) 10-port, X-pol 65deg HBW Antenna,w/Bracket &,Actuators|N|NETWORK||2399|EPBQ-652L8H8|EA|E|Antennas|Standard|03/30/2015 03:03:57|Active NTW
ANT.14882|Huber Suhner|Huber Suhner,3409.41.0076,84073078,,,High-Power/Low IM GDT Hybrid;,820-2500 MHZ; 7/16 Female DIN,7/16 Female,Connections,|N|NETWORK||162.81|3409.41.0076|EA|B|Antenna Sys Matl|Standard|03/30/2015 02:03:12|Active NTW
SEQ.17241|F5 Networks|F5 Networks,F5-BIG-BT-10200V-F,,,,BIG-IP SWITCH: 10200V FIPS,BEST BUNDLE (LTM; DNS; AAM;,AFM; SDN; ROUTING; APM; ASM),(VCMP; 48G; MAX SSL &,COMP)|Y|NETWORK||113594.3|F5-BIG-BT-10200V-F|EA|E|Adjunct Data Proc Equip|Standard|03/27/2015 05:03:45|Active NTW
SEQ.17239|Dantel|Dantel,A25-00704-10,,,,AC to -48 DC power supply for,DSS01,,,|N|NETWORK||90|A25-00704-10|EA|B|Adjunct Data Proc Equip|Standard|03/27/2015 05:03:45|Active NTW
NEQ.18732|Alpha Technologies|Alpha Technologies,7400232-011,,,,Assy; Cordex CXCI+ Controller,48V; RIA DB25;,RoHS6,,|N|NETWORK||266.45|7400232-011|EA|B|Power Board -48v|Standard|03/27/2015 04:03:48|Active NTW
ANT.14881|Laird|Laird,CMD69273P-AJ1,,STANDARDIZATION NON-APPROVED,,Ceiling Mounted Omni,Directional,Antenna,,|N|NETWORK||54|CMD69273P-AJ1|EA|E|Antennas|Standard|03/27/2015 04:03:48|Phase NTW
SEQ.16775|Tekelec|Tekelec,804-2153-R01PT,,,,USB 2.0 Flash Memory Drive,2GB 10Mb/s read/write 94V-0,RoHS,5/6,|N|NETWORK||50|804-2153-R01PT|EA|B|Adjunct Switch Equip|Standard|03/27/2015 04:03:48|Active NTW
SEQ.16776|Tekelec|Tekelec,830-1102-03PT,,,,DB26 male to dual RJ45 cable,adapter,,,|N|NETWORK||56|830-1102-03PT|EA|B|Adjunct Switch Equip|Standard|03/27/2015 04:03:48|Active NTW
ANT.14881|Laird|Laird,CMD69273P-AJ1,,,,Ceiling Mounted Omni,Directional,Antenna,,|N|NETWORK||54|CMD69273P-AJ1|EA|E|Antennas|Standard|03/27/2015 03:03:45|Active NTW
CEQ.30727|Nortel|Nortel,NTQA65YA,,DISCONTINUED,,CSU Cable Kit for Indoor,S8/12K (CrossPath,lle),,|N|NETWORK||500|NTQA65YA|EA|B|Radio Cabinets|Standard|03/27/2015 11:03:55|Active NTW
ANT.14879|123eWireless|123eWireless,123-171-03,,,,Xtreme Weather RET Cable,Assembly 3,Meter,,|N|NETWORK||28|123-171-03|EA|B|Antenna Sys Matl|Standard|03/27/2015 11:03:55|Active NTW
CEQ.15286|Ericsson|Ericsson,SDF111275/1,,,,COVER/Back Solar,Shield,,,|N|NETWORK||57.47|SDF111275/1|EA|B|Radio Cabinets|Standard|03/27/2015 10:03:56|Active NTW
CEQ.15284|Ericsson|Ericsson,SDF111172/1,,,,FRONT COVER/Front Solar,Shield,,,|N|NETWORK||43.23|SDF111172/1|EA|B|Radio Cabinets|Standard|03/26/2015 04:03:47|Active NTW
NEQ.18719|RFS|RFS,PDU-6A,,STANDARDIZATION NON-APPROVED,,6-Way Alarm and Distribution,Unit for Masthead,LNAs,,|Y|NETWORK||475|PDU-6A|EA|E|Transport Equip|Standard|03/26/2015 04:03:47|Phase NTW
CEQ.15285|Bafo|Bafo,MUTP5E-25BUB,,,,Cat. 5E UTP Patch Cable RJ-45,Male RJ-45 Male 25ft,Blue,,|N|NETWORK||8|MUTP5E-25BUB|EA|B|Radio Cabinets|Standard|03/26/2015 04:03:47|Active NTW
CEQ.15271|Corning|Corning,37HP900162-006F,,,,MTP to LC APC Harness Cable 6,ft,,,|N|NETWORK||417.76|37HP900162-006F|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15269|Corning|Corning,RXU-L70A17-M,,,,Remote Expansion Unit for 700,LTE/AWS,MIMO,,|N|NETWORK||874|RXU-L70A17-M|EA|E|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15268|Corning|Corning,RIM-P19,,,,Radio Interface Module (RIM),-,PCS,,|Y|NETWORK||506|RIM-P19|EA|E|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
ANT.10001|Powerwave|Powerwave,P65-17-XLH-RR,,NO ACTIVITY,ANT.12263,Dual Band Antenna; 17dBi 65,Deg 698-896MHz and,1710-2170MHZ 8ft AISG v2.0,internal,RET|N|NETWORK||962|P65-17-XLH-RR|EA|E|Antennas|Standard|03/26/2015 02:03:48|Phase NTW
CEQ.15272|Corning|Corning,HR1818H6C06U820470F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored,470F,|N|NETWORK||739.18|HR1818H6C06U820470F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15276|Corning|Corning,HR1818K6C06U820130F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 06F/6Cu 20AWG Plenum,Non-Armored 130,Ft,|N|NETWORK||333.61|HR1818K6C06U820130F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15280|Corning|Corning,CCH-CP24-B3,,,,Panel; CCH; with 12 LC DUP,APC,,,|N|NETWORK||117.18|CCH-CP24-B3|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15273|Corning|Corning,HR1818H6C06U820530F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 530,Ft,|N|NETWORK||796.18|HR1818H6C06U820530F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15274|Corning|Corning,HR1818H6C06U820600F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 600,Ft,|N|NETWORK||863.98|HR1818H6C06U820600F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15275|Corning|Corning,HR1818H6C06U820700F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 6F/6Cu 16AWG Plenum,Non-Armored 700,Ft,|N|NETWORK||959.98|HR1818H6C06U820700F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15277|Corning|Corning,HR1818K6C06U820200F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 06F/6Cu 20AWG Plenum,Non-Armored 200,Ft,|N|NETWORK||399.24|HR1818K6C06U820200F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15278|Corning|Corning,HR1818K6C06U820420F-PK,,,,ONE Composite Tether; LC/APC,- LC/APC 06F/6Cu 20AWG Plenum,Non-Armored 420,Ft,|N|NETWORK||565.18|HR1818K6C06U820420F-PK|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
CEQ.15279|Corning|Corning,CCH-02U,,,,2 Rack Units; Hold 4 Closet,Connector Housing (CCH),Connector,Panels,|N|NETWORK||160.41|CCH-02U|EA|B|Radio Cabinets|Standard|03/26/2015 02:03:48|Active NTW
ANT.10540|Cellular Specialties|Cellular Specialties,CS03-003-427,AY/700-806/11,STANDARDIZATION EXCEPTION,,Yagi Antenna 700 MHz (698-806,MHz),11dBi,,|N|NETWORK||129|CS03-003-427|EA|E|Antennas|Standard|03/26/2015 02:03:48|Active NTW
SEQ.17236|DPS Telecom|DPS Telecom,D-PK-NG480-12051-00002,,,,NetGuardian 480-G4 Dual -48V,RTC 1-Plug TP/IT RS485 2 Temp,Sensors,,|Y|NETWORK||2063.25|D-PK-NG480-12051-00002|EA|E|Adjunct Data Proc Equip|Standard|03/26/2015 12:03:54|Active NTW
CEQ.15266|Corning|Corning,RIM-L70,,,,Radio Interface Module (RIM),-,LTE,,|Y|NETWORK||506|RIM-L70|EA|E|Radio Cabinets|Standard|03/26/2015 10:03:50|Active NTW
CEQ.15267|Corning|Corning,RIM-L70-M,,,,Radio Interface Module (RIM),- LTE,(MIMO),,|Y|NETWORK||506|RIM-L70-M|EA|E|Radio Cabinets|Standard|03/26/2015 10:03:50|Active NTW
CEQ.15252|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-30000,,,,White Jacket Preconnect Trunk,30-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1172.43|FB-L98B-A0126-30000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15261|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-125000,,,,White Jacket Preconnect Trunk,125-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1664.29|FB-L98B-A0126-125000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
ANT.14875|Rosenberger Site Solutions|Rosenberger Site Solutions,CX694-2711,,,,Hanger Adapter Grommet (Kit,of 10) for one 12-2 power and,two 7mm fiber jumpers; used,with 7/8-inch hangers and,double clamps|N|NETWORK||10.46|CX694-2711|EA|B|Antenna Sys Matl|Standard|03/25/2015 04:03:48|Active NTW
ANT.14876|Rosenberger Site Solutions|Rosenberger Site Solutions,CX696-8212,,,,Hanger adapter grommet (kit,of 10) for two 8-2 power and,two 7mm fiber jumpers; used,with 1 1/4-inch hangers and,double blocks|N|NETWORK||17.09|CX696-8212|EA|B|Antenna Sys Matl|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15256|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-50000,,,,White Jacket Preconnect Trunk,50-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1275.98|FB-L98B-A0126-50000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15257|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-60000,,,,White Jacket Preconnect Trunk,60-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1327.75|FB-L98B-A0126-60000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15259|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-75000,,,,White Jacket Preconnect Trunk,75-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1405.42|FB-L98B-A0126-75000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15255|CommScope|CommScope,C400-NMNM-60M,,,,CA:DW C400 BRAIDED CABLE ASSY,60M,,,|N|NETWORK||109.26|C400-NMNM-60M|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15260|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-L98B-A0126-100000,,,,White Jacket Preconnect Trunk,100-meter w/UL cert cable,36-Fiber 18 channels 9/125,G657A2 single mode optical,fiber; 18 x LCC top/bottom OFN|N|NETWORK||1534.85|FB-L98B-A0126-100000|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15258|Corning|Corning,RAU5US,,,,Remote Access Unit; Five Band,Remort Supporting;,ESMR,,|N|NETWORK||1840|RAU5US|EA|E|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
NEQ.18718|GE|GE,150024269,,STANDARDIZATION EXCEPTION,,GPS 2436 Infinity Power,System Primary Bay; w Pulsar,Controller (ASG,Only),|Y|NETWORK||9550.85|150024269|EA|E|Power Board 24v|Model|03/25/2015 04:03:48|Active NTW
NEQ.18563|GE|GE,150024269,,DISCONTINUED USE,NEQ.18718,GPS 2436 Infinity Power,System Primary Bay; w Pulsar,Controller (ASG,Only),|Y|NETWORK||9550.85|150024269|EA|E|Power Board 24v|Model|03/25/2015 04:03:48|Phase NTW
CEQ.15251|Corning|Corning,OIM,,,,Optical Interface,Module,,,|Y|NETWORK||1288|OIM|EA|E|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15263|Corning|Corning,RIM-A17-M,,,,Radio Interface Module (RIM),- AWS,(MIMO),,|Y|NETWORK||506|RIM-A17-M|EA|E|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15265|Rosenberger Site Solutions|Rosenberger Site Solutions,FB-SLODF018-025,,,,Fiber Distribution Enclosure,with 23-inch relay rack,adapter plate; capacity 36,fibers (18 channels/pairs),includes 18 x LC duplex single|N|NETWORK||251.02|FB-SLODF018-025|EA|B|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15264|Corning|Corning,RIM-C85,,,,Radio Interface Module (RIM),-,CELL,,|Y|NETWORK||506|RIM-C85|EA|E|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
CEQ.15262|Corning|Corning,RIM-A17,,,,Radio Interface Module (RIM),-,AWS,,|Y|NETWORK||506|RIM-A17|EA|E|Radio Cabinets|Standard|03/25/2015 04:03:48|Active NTW
ANT.13708|Powerwave|Powerwave,P65-16-XLH-RR,,DISCONTINUED,,Dual Broadband (700/850 MHz,and AWS/PCS) X-Pol Quad Port,6ft 65 Degree,Antenna,|N|NETWORK||881|P65-16-XLH-RR|EA|E|Antennas|Standard|03/25/2015 04:03:48|Active NTW
NEQ.01102|Enersys|Enersys,SBSJ40,,STANDARDIZATION NON-APPROVED,,Hawker SBSJ 39AH 12V Battery,Module,Module,,|N|NETWORK||124.72|SBSJ40|EA|B|Battery|Standard|03/25/2015 04:03:48|Active NTW












