Items|telcobuy_items-033115160358.txt
No of lines in the file: 1
No of bytes in the file: 167
#ITEM_NUMBER|MANUFACTURER|DESCRIPTION|SERIAL|ITEM_TYPE|TECHNOLOGY|LIST_PRICE|CUSTOMER_PART_NUMBER|PRIMARY|EXTERNAL_DOWNLOAD_FLAG|EXPENDITURE_TYPE|BOM_ITEM_TYPE|LAST_UPDATE_DATE|ITEM_STATUS
NEQ.18746|Emerson Network Power|Emerson Network Power,150293,,,,Kit; 18 Ft,Wire,,,|N|NETWORK||108|150293|EA|B|Power Board -48v|Standard|03/31/2015 04:03:57|Active NTW
NEQ.18746|Emerson Network Power|Emerson Network Power,150293,,,,Kit; 8 Ft,Wire,,,|N|NETWORK||108|150293|EA|B|Power Board -48v|Standard|03/31/2015 03:03:48|Active NTW
NEQ.18744|Emerson Network Power|Emerson Network Power,150292,,,,Kit; 1 Ft Heat,Shrink,,,|N|NETWORK||5.13|150292|EA|B|Power Board -48v|Standard|03/31/2015 03:03:48|Active NTW
CEQ.31459|ADC|ADC,FWU-80000HUDART,,DISCONTINUED USE,CEQ.31870,PRISM 1900 PCS; one DART,Classic,,,|Y|NETWORK||936|FWU-80000HUDART|EA|E|Radio Cabinets|Standard|03/31/2015 03:03:48|Active NTW
CEQ.15294|Corning|Corning,PSM-DC,,STANDARDIZATION NON-APPROVED,,DC Power Supply,Module,,,|Y|NETWORK||253|PSM-DC|EA|E|Radio Cabinets|Standard|03/31/2015 03:03:48|Active NTW
CEQ.15289|Corning|Corning,IHU-2-11-1-D-H,,STANDARDIZATION NON-APPROVED,,1-RIX (Extender Mod);  1-OIX,(Extender Mod); 1-ERFC,(Cable); 1-PSM-DC (Power,Supply); 1- HCM (Control,Module); 1-IHU (Chassis w/back|Y|NETWORK||6716|IHU-2-11-1-D-H|EA|E|Radio Cabinets|Model|03/31/2015 03:03:48|Active NTW
CEQ.15290|Corning|Corning,HCM,,STANDARDIZATION NON-APPROVED,,HCM - Head End Controller,Module,,,|Y|NETWORK||1150|HCM|EA|E|Radio Cabinets|Standard|03/31/2015 03:03:48|Active NTW
CEQ.15291|Corning|Corning,RIX,,STANDARDIZATION NON-APPROVED,,RIX - Radio Interface,Extender,Module,,|Y|NETWORK||552|RIX|EA|E|Radio Cabinets|Standard|03/31/2015 03:03:48|Active NTW
CEQ.15292|Corning|Corning,OIX,,STANDARDIZATION NON-APPROVED,,Corning ONE Optical Interface,Extender,Module,,|Y|NETWORK||552|OIX|EA|E|Radio Cabinets|Standard|03/31/2015 03:03:48|Active NTW
ANT.13708|Powerwave|Powerwave,P65-16-XLH-RR,,DISCONTINUED,,Dual Broadband (700/850 MHz,and AWS/PCS) X-Pol Quad Port,6ft 65 Degree,Antenna,|N|NETWORK||881|P65-16-XLH-RR|EA|E|Antennas|Standard|03/31/2015 03:03:48|Phase NTW
CEQ.12609|Lucent|Lucent,109776161,,,,SLI-9442 AWS RRH2x40 with,RDEM AISG,2.0,,|N|NETWORK||7066|109776161|EA|E|Radios|Standard|03/31/2015 02:03:44|Active NTW
CEQ.12610|Lucent|Lucent,LTE-AWS-4XRX-RDEM-RRH,ATW-12-B30038-E1,,,LTE AWS 4XRX RDEM RRH Remote,Radio Head,2x40W,,|Y|NETWORK||7817.23|LTE-AWS-4XRX-RDEM-RRH|EA|E|Radios|Model|03/31/2015 01:03:52|Active NTW
SEQ.17242|Accedian Networks|Accedian Networks,753-000,,,,MetroNode 10GE LT-S (Dual DC,Power,Supplies),,|Y|NETWORK||4750|753-000|EA|E|Adjunct Data Proc Equip|Standard|03/31/2015 11:03:41|Active NTW
CEQ.15287|CommScope|CommScope,C195-SMQM-2M-AMBG,,,,CA:CNT195 BRAIDED CABLE,ASSEMBLY,2M,,|N|NETWORK||25|C195-SMQM-2M-AMBG|EA|B|Radio Cabinets|Standard|03/31/2015 11:03:41|Active NTW
CEQ.11954|CommScope|CommScope,7643617-00,,DISCONTINUED USE,CEQ.15287,RF Cable RG223 2m QMA,Straight,Plug,,|N|NETWORK||25|7643617-00|EA|B|Radio Cabinets|Standard|03/31/2015 11:03:41|Phase NTW
SEQ.17248|Sonus Networks|Sonus Networks,822-00097,,,,GSX9000HD Fan,Tray,,,|N|NETWORK||288|822-00097|EA|B|Adjunct Switch Equip|Standard|03/30/2015 07:03:58|Active NTW
