RecordType,Item,Manufacturer,Description,Quantity,SerialNumber
I,809-6212-2100,Telect,BREAKER PAN HIGH CURR 200A -48/-24/+24V DUAL-FEED,4,
I,83967,,6ft cat6 snagless utp cbl-gry,20,01231470
I,83967,,6ft cat6 snagless utp cbl-gry,63,
S,800463508,AVAYA,BUS TERMINATOR CP AHF110,1,11WZ19040296
S,800466014,AVAYA,DS1 Interface; TN464HP,1,11WZ10400BQF
S,800466014,AVAYA,DS1 Interface; TN464HP,1,11WZ10400BZD
