Project,Mfg Part Number,Hardware Model,Reserved Quantity
MISPLUS,CISCO2821,XDC2821X,1
ATT1438,ASR1002,XDC1002A,2
MISPLUS,CISCO2821,XDC2821X,2
LPP-GMISIN,CISCO2822,XDC2821X,1
