MANUFACTURER_PART_NUMBER,COST_SEGMENT,MANUFACTURER,DESCRIPTION,SERIAL_CONTROL,MARKET_PRICE,LIST_PRICE,ATTRIBUTE8
SL-39-IPB-K9,Actual,324,IP Base License for Cisco 3925/3945,1,0,0,SL-39-IPB-K9
3900-FANASSY,Actual,324,Cisco 3925/3945 Fan Assembly (Bezel included),1,0,0,3900-FANASSY
MEM-3900-1GB-DEF,Actual,324,1GB DRAM (512MB+512MB) for Cisco 3925/3945 ISR (Default),1,0,0,MEM-3900-1GB-DEF
RPS-COVER-3900,Actual,324,Cover for empty 2nd Power Supply slot on Cisco 3925/3945,1,0,0,RPS-COVER-3900
SL-39-UC-K9,Actual,324,Unified Communication License  for Cisco 3900 Series,1,0,0,SL-39-UC-K9
S39UK9-15303M,Actual,324,Cisco 3925-3945 IOS UNIVERSAL,1,0,0,S39UK9-15303M
FL-SRST,Actual,324,Cisco Survivable Remote Site Telephony License,1,0,0,FL-SRST
FL-CME-SRST-5,Actual,324,Communication Manager Express or SRST - 5 seat license,1,170,34,FL-CME-SRST-5
VWIC3-2MFT-T1/E1,Actual,324,2-Port 3rd Gen Multiflex Trunk Voice/WAN Int. Card - T1/E1,1,2200,440,VWIC3-2MFT-T1/E1
PVDM3-64U128,Actual,324,PVDM3 64-channel to 128-channel factory upgrade,1,3000,600,PVDM3-64U128
PVDM3-16,Actual,324,16-channel high-density voice and video DSP module,1,800,160,PVDM3-16
R-CUWL-STD-K9,Actual,324,Unified Workspace Licensing - Top Level for STD - 9.x,1,0,0,R-CUWL-STD-K9
CON-ECMU-RCUWLSK9,Actual,324,SWSS UPGRADES Unified W-space Lic - Top Level for STD,1,0,0,CON-ECMU-RCUWLSK9
JAB-IPH-CLNT-UWL,Actual,324,Jabber for iPhone CUWL Only,1,0,0,JAB-IPH-CLNT-UWL
JABBER-DESKTOP,Actual,324,Jabber for Desktop for PC and Mac,1,0,0,JABBER-DESKTOP
CUCILYNC-CLNT-UWL,Actual,324,Cisco Unified Comm Integration for Lync for CUWL only,1,0,0,CUCILYNC-CLNT-UWL
JAB-SDK9-0-UWL,Actual,324,Jabber for SDK 9.0 for CUWL Only,1,0,0,JAB-SDK9-0-UWL
IPC8-CLIENT-UWL,Actual,324,IP Communicator 8.x for CUWL only,1,0,0,IPC8-CLIENT-UWL
WEBCOMM2-UWL,Actual,324,Cisco Web Communicator 2.x for CUWL - 1 Client,1,0,0,WEBCOMM2-UWL
JAB-ADR-CLNT-UWL,Actual,324,Jabber for Android CUWL Only,1,0,0,JAB-ADR-CLNT-UWL
JABBER-TABLET,Actual,324,Jabber for iPad and Android Tablet,1,0,0,JABBER-TABLET
CUCICONN-CLNT-UWL,Actual,324,Cisco Unified Comm Integ for WebEx Connect for CUWL Only,1,0,0,CUCICONN-CLNT-UWL
JABBER-GUEST,Actual,324,Jabber Guest Session,1,0,0,JABBER-GUEST
EXPWY-VE-C-K9,Actual,324,"Cisco Expressway-C Server, Virtual Edition",1,0,0,EXPWY-VE-C-K9
CON-ECMU-EXPWYVEC,Actual,324,SWSS UPGRADES Cisco Expressway-C S,1,0,0,CON-ECMU-EXPWYVEC
EXPWY-VE-E-K9,Actual,324,"Cisco Expressway-E Server, Virtual Edition",1,0,0,EXPWY-VE-E-K9
CON-ECMU-EXPWYVEE,Actual,324,"SWSS UPGRADES Cisco Expressway-E Server, Virtual Editi",1,0,0,CON-ECMU-EXPWYVEE
SW-EXP-8-X-K9,Actual,324,"Software Image for Expressway with Encryption, Version X8",1,0,0,SW-EXP-8-X-K9
LIC-EXP-RMS,Actual,324,Expressway Rich Media Session,1,750,150,LIC-EXP-RMS
CON-ECMU-LICEXPRM,Actual,324,SWSS UPGRADES Expressway Rich Media Session,1,120,36,CON-ECMU-LICEXPRM
JABBER-IM-ADDON,Actual,324,Jabber for Everyone Additional IM Users,1,0,0,JABBER-IM-ADDON
LIC-UWL-STD-A,Actual,324,"Services Mapping SKU, Under 1K UWL STD users",1,0,0,LIC-UWL-STD-A
CON-ECMU-LICUWLT,Actual,324,SWSS UPGRADES Services Mapping SKU,1,39,11.7,CON-ECMU-LICUWLT
JABBER-IM-RTU,Actual,324,Jabber for Everyone Right to Use,1,0,0,JABBER-IM-RTU
UCXN-10X-UWL-STD,Actual,324,Unity Connection 10.x CUWL STD Users,1,0,0,UCXN-10X-UWL-STD
LIC-EXP-SERIES,Actual,324,Enable Expressway Series Feature Set,1,0,0,LIC-EXP-SERIES
JAB-IPH-RTU,Actual,324,Jabber for iPhone Right to Use,1,0,0,JAB-IPH-RTU
LIC-EXP-AN,Actual,324,Enable Advanced Networking Option,1,0,0,LIC-EXP-AN
JABBER-TABLET-RTU,Actual,324,Jabber for Tablet Right to Use,1,0,0,JABBER-TABLET-RTU
WEBEX-UWL-S-PAK,Actual,324,WebEx PAK for CUWL Standard,1,0,0,WEBEX-UWL-S-PAK
JAB-SDK9-0-UWL-RTU,Actual,324,Jabber for SDK Right to Use Certificate,1,0,0,JAB-SDK9-0-UWL-RTU
LIC-SW-EXP-K9,Actual,324,License Key Software Encrypted,1,0,0,LIC-SW-EXP-K9
JAB-ADR-RTU,Actual,324,Jabber for Android Right to Use,1,0,0,JAB-ADR-RTU
CIPC-UWL-RTU,Actual,324,CIPC UWL Right to Use Certificate,1,0,0,CIPC-UWL-RTU
UWL-STD-PAK,Actual,324,CUWL STD 9.x & 10.x PAK,1,0,0,UWL-STD-PAK
UCM-10X-UWL-STD,Actual,324,UC Manager 10.x CUWL STD Users,1,0,0,UCM-10X-UWL-STD
WBX-IM1-NH-UWL,Actual,324,Included WebEx Messenger  Users ( 1 Year Term),1,0,0,WBX-IM1-NH-UWL
LIC-EXP-TURN,Actual,324,Enable TURN Relay Option,1,0,0,LIC-EXP-TURN
JABBER-DSK-K9-RTU,Actual,324,Jabber for Desktop Right to Use,1,0,0,JABBER-DSK-K9-RTU
UCXN-10X-SC-PORTS,Actual,324,Unity Connection 10.x SpeechConnect Ports,1,0,0,UCXN-10X-SC-PORTS
JAB-GUEST-RTU-K9,Actual,324,Jabber Guest Right to Use,1,0,0,JAB-GUEST-RTU-K9
