SOURCE,PO_CREATED,SUPPLIER,SSPN_PO,SSPN_LINE,EXT_SYS_REF,EXT_SYS_LINE
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763616,1,0001184127-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763616,4,0001184127-1,3
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763616,3,0001184127-1,4
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763798,1,0001184165-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763660,1,0001184169-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763722,1,0001184170-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763659,1,0001184171-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763717,1,0001184172-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763770,1,0001184174-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763844,1,0001184175-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763769,1,0001184176-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763805,1,0001184177-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763744,1,0001184178-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763799,1,0001184184-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763631,1,0001184188-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763661,1,0001184194-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763657,2,0001184283-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763657,1,0001184283-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763800,1,0001184284-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763800,2,0001184284-1,2
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763632,1,0001184306-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763632,2,0001184306-1,2
MSRI,4/1/2015,COMP VIEW INC,1103763807,1,0001184351-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763816,2,0001184376-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103763816,1,0001184376-1,2
MSRI,4/1/2015,COMP VIEW INC,1103763796,1,0001184395-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764364,1,0001184407-1,1
MSRI,4/1/2015,WORLD WIDE TECHNOLOGY INC,1103764331,1,0001184417-1,1
